Trial,block,square1,square2,square3,square4,invalid
0,V5,46,21,37,28,No Choice
1,V5,43,27,36,31,No Choice
2,V5,50,18,43,32,No Choice
3,V5,53,23,36,34,No Choice
4,V5,52,19,38,34,No Choice
5,V5,50,22,41,29,No Choice
6,V5,52,19,40,33,No Choice
7,V5,48,24,36,27,No Choice
8,V5,50,24,35,33,No Choice
9,V5,48,25,39,34,No Choice
10,V5,52,19,32,34,No Choice
11,V5,48,22,32,32,No Choice
12,V5,47,17,43,29,No Choice
13,V5,46,21,42,29,No Choice
14,V5,47,28,42,28,No Choice
15,V5,50,29,38,36,No Choice
16,V5,49,24,36,34,No Choice
17,V5,50,20,38,35,No Choice
18,V5,49,22,46,29,No Choice
19,V5,46,23,40,31,No Choice
20,V5,51,22,41,28,No Choice
21,V5,51,26,36,31,No Choice
22,V5,47,18,41,28,No Choice
23,V5,52,20,36,29,No Choice
24,V5,51,21,41,34,No Choice
25,V5,50,20,41,27,No Choice
26,V5,49,29,37,28,No Choice
27,V5,10,13,42,32,No Choice
28,V5,9,19,40,27,No Choice
29,V5,17,17,38,29,No Choice
30,V5,8,18,36,29,No Choice
31,V5,16,24,34,29,No Choice
32,V5,9,17,35,31,No Choice
33,V5,11,19,36,28,No Choice
34,V5,10,19,38,28,No Choice
35,V5,5,23,40,34,No Choice
36,V5,17,20,36,31,No Choice
37,V5,12,13,36,30,No Choice
38,V5,14,24,35,27,No Choice
39,V5,13,20,39,32,No Choice
40,V5,9,15,37,24,No Choice
41,V5,9,14,38,31,No Choice
42,V5,14,17,43,31,No Choice
43,V5,10,18,39,23,No Choice
44,V5,10,20,33,32,No Choice
45,V5,16,17,37,29,No Choice
46,V5,9,22,37,25,No Choice
47,V5,10,22,35,26,No Choice
48,V5,11,16,39,23,No Choice
49,V5,13,16,33,27,No Choice
50,V5,12,16,39,24,No Choice
51,V5,10,21,43,28,No Choice
52,V5,8,15,36,28,No Choice
53,V5,38,20,31,54,No Choice
54,V5,39,20,35,51,No Choice
55,V5,41,21,27,50,No Choice
56,V5,39,23,28,49,No Choice
57,V5,36,28,29,59,No Choice
58,V5,38,22,28,49,No Choice
59,V5,44,23,30,51,No Choice
60,V5,43,21,31,48,No Choice
61,V5,39,24,35,50,No Choice
62,V5,38,25,31,52,No Choice
63,V5,41,14,31,52,No Choice
64,V5,43,23,30,51,No Choice
65,V5,41,23,35,52,No Choice
66,V5,41,17,33,47,No Choice
67,V5,44,23,32,49,No Choice
68,V5,44,24,31,44,No Choice
69,V5,43,28,27,48,No Choice
70,V5,38,22,26,50,No Choice
71,V5,41,29,26,53,No Choice
72,V5,40,20,28,51,No Choice
73,V5,59,44,51,35,No Choice
74,V5,60,38,55,43,No Choice
75,V5,63,45,50,37,No Choice
76,V5,62,42,50,37,No Choice
77,V5,57,37,52,35,No Choice
78,V5,66,45,54,37,No Choice
79,V5,64,37,48,35,No Choice
80,V5,63,40,56,38,No Choice
81,V5,62,41,54,32,No Choice
82,V5,58,41,59,39,No Choice
83,V5,66,46,54,35,No Choice
84,V5,67,44,52,33,No Choice
85,V5,67,45,46,36,No Choice
86,V5,65,44,51,38,No Choice
87,V5,64,49,48,35,No Choice
88,V5,68,47,56,36,No Choice
89,V5,60,42,57,32,No Choice
90,V5,59,43,53,34,No Choice
91,V5,64,43,51,34,No Choice
92,V5,65,41,57,38,No Choice
93,V5,59,48,54,40,No Choice
94,V5,66,44,53,43,No Choice
95,V5,63,43,50,40,No Choice
96,V5,62,44,50,33,No Choice
97,V5,64,49,55,37,No Choice
98,V5,65,44,53,36,No Choice
99,V5,65,42,55,35,No Choice
