Trial,block,square1,square2,square3,square4,invalid
0,V2,33,24,43,18,No Choice
1,V2,33,29,42,21,No Choice
2,V2,37,26,45,22,No Choice
3,V2,39,26,41,20,No Choice
4,V2,29,32,45,19,No Choice
5,V2,33,28,44,17,No Choice
6,V2,32,24,49,20,No Choice
7,V2,32,21,42,13,No Choice
8,V2,35,23,45,19,No Choice
9,V2,33,28,46,17,No Choice
10,V2,39,27,45,21,No Choice
11,V2,30,23,44,22,No Choice
12,V2,31,26,43,16,No Choice
13,V2,35,26,43,22,No Choice
14,V2,35,29,46,19,No Choice
15,V2,36,22,44,20,No Choice
16,V2,33,27,45,19,No Choice
17,V2,35,25,41,15,No Choice
18,V2,37,27,51,21,No Choice
19,V2,33,25,43,18,No Choice
20,V2,39,25,43,20,No Choice
21,V2,27,32,43,24,No Choice
22,V2,35,27,50,13,No Choice
23,V2,36,25,39,17,No Choice
24,V2,32,45,39,59,No Choice
25,V2,26,43,37,55,No Choice
26,V2,23,45,39,58,No Choice
27,V2,30,44,40,56,No Choice
28,V2,34,48,41,54,No Choice
29,V2,29,42,35,54,No Choice
30,V2,22,39,39,55,No Choice
31,V2,32,48,35,50,No Choice
32,V2,27,47,40,58,No Choice
33,V2,28,46,31,54,No Choice
34,V2,28,44,41,49,No Choice
35,V2,31,44,33,59,No Choice
36,V2,29,48,30,55,No Choice
37,V2,25,45,32,51,No Choice
38,V2,29,48,33,54,No Choice
39,V2,29,44,33,54,No Choice
40,V2,33,42,37,61,No Choice
41,V2,28,45,41,57,No Choice
42,V2,33,46,36,54,No Choice
43,V2,31,42,40,57,No Choice
44,V2,27,45,38,56,No Choice
45,V2,27,44,32,51,No Choice
46,V2,28,44,39,57,No Choice
47,V2,30,45,36,56,No Choice
48,V2,31,47,41,59,No Choice
49,V2,32,45,33,57,No Choice
50,V2,24,38,36,52,No Choice
51,V2,29,48,34,54,No Choice
52,V2,30,50,38,56,No Choice
53,V2,27,47,33,55,No Choice
54,V2,34,21,45,25,No Choice
55,V2,36,19,39,24,No Choice
56,V2,29,19,45,18,No Choice
57,V2,29,20,39,20,No Choice
58,V2,40,18,42,21,No Choice
59,V2,31,17,44,23,No Choice
60,V2,31,19,42,20,No Choice
61,V2,34,16,41,25,No Choice
62,V2,28,12,41,22,No Choice
63,V2,32,14,45,26,No Choice
64,V2,36,21,41,25,No Choice
65,V2,32,13,39,24,No Choice
66,V2,35,15,42,20,No Choice
67,V2,30,23,47,27,No Choice
68,V2,31,17,43,24,No Choice
69,V2,33,20,41,20,No Choice
70,V2,37,17,43,21,No Choice
71,V2,45,31,36,58,No Choice
72,V2,47,31,31,54,No Choice
73,V2,50,30,33,55,No Choice
74,V2,45,31,36,51,No Choice
75,V2,47,28,38,54,No Choice
76,V2,52,33,35,60,No Choice
77,V2,41,29,37,53,No Choice
78,V2,51,24,34,56,No Choice
79,V2,41,34,36,52,No Choice
80,V2,48,31,37,51,No Choice
81,V2,43,32,40,53,No Choice
82,V2,48,25,37,58,No Choice
83,V2,45,32,36,61,No Choice
84,V2,47,29,39,60,No Choice
85,V2,49,30,39,54,No Choice
86,V2,46,28,33,51,No Choice
87,V2,45,24,37,55,No Choice
88,V2,48,29,42,54,No Choice
89,V2,43,31,38,52,No Choice
90,V2,51,33,36,56,No Choice
91,V2,49,32,37,59,No Choice
92,V2,47,29,37,56,No Choice
93,V2,45,27,35,56,No Choice
94,V2,45,31,31,49,No Choice
95,V2,47,33,36,52,No Choice
96,V2,44,28,37,59,No Choice
97,V2,48,28,33,55,No Choice
98,V2,49,29,39,60,No Choice
99,V2,44,30,36,50,No Choice
