Trial,block,square1,square2,square3,square4,invalid
0,S12,38,42,30,42,No Choice
1,S12,30,42,28,37,No Choice
2,S12,34,41,38,43,No Choice
3,S12,38,51,38,38,No Choice
4,S12,32,37,33,45,No Choice
5,S12,38,52,36,35,No Choice
6,S12,30,43,30,38,No Choice
7,S12,38,39,30,39,No Choice
8,S12,37,49,35,38,No Choice
9,S12,37,44,29,38,No Choice
10,S12,35,42,30,45,No Choice
11,S12,34,45,36,32,No Choice
12,S12,33,45,35,42,No Choice
13,S12,36,36,29,40,No Choice
14,S12,36,49,32,42,No Choice
15,S12,35,43,35,46,No Choice
16,S12,39,48,41,43,No Choice
17,S12,35,47,27,38,No Choice
18,S12,37,51,33,33,No Choice
19,S12,41,42,33,36,No Choice
20,S12,34,44,26,41,No Choice
21,S12,35,37,29,35,No Choice
22,S12,37,48,31,41,No Choice
23,S12,36,43,27,45,No Choice
24,S12,39,48,38,38,No Choice
25,S12,31,43,30,40,No Choice
26,S12,35,48,34,33,No Choice
27,S12,46,46,28,38,No Choice
28,S12,32,37,32,40,No Choice
29,S12,38,41,32,44,No Choice
30,S12,32,48,29,42,No Choice
31,S12,34,46,30,42,No Choice
32,S12,39,43,41,40,No Choice
33,S12,36,47,33,46,No Choice
34,S12,36,41,34,41,No Choice
35,S12,34,42,31,43,No Choice
36,S12,39,43,26,33,No Choice
37,S12,39,49,30,42,No Choice
38,S12,33,47,36,41,No Choice
39,S12,29,46,35,36,No Choice
40,S12,39,39,29,36,No Choice
41,S12,33,44,31,40,No Choice
42,S12,34,46,25,37,No Choice
43,S12,37,42,30,42,No Choice
44,S12,33,49,36,39,No Choice
45,S12,35,40,30,47,No Choice
46,S12,40,41,29,35,No Choice
47,S12,32,42,28,43,No Choice
48,S12,43,47,31,38,No Choice
49,S12,37,41,35,40,No Choice
