Trial,block,square1,square2,square3,square4,invalid
0,V4,63,38,47,55,No Choice
1,V4,66,42,43,59,No Choice
2,V4,66,39,57,59,No Choice
3,V4,66,37,51,59,No Choice
4,V4,69,37,50,55,No Choice
5,V4,64,44,46,62,No Choice
6,V4,75,43,49,57,No Choice
7,V4,62,41,52,59,No Choice
8,V4,65,41,44,60,No Choice
9,V4,68,35,44,64,No Choice
10,V4,67,44,48,61,No Choice
11,V4,61,40,48,56,No Choice
12,V4,68,41,49,55,No Choice
13,V4,63,42,47,60,No Choice
14,V4,63,40,51,55,No Choice
15,V4,62,41,52,62,No Choice
16,V4,69,37,47,60,No Choice
17,V4,66,40,48,56,No Choice
18,V4,67,43,47,59,No Choice
19,V4,64,42,51,59,No Choice
20,V4,67,40,47,58,No Choice
21,V4,60,41,50,59,No Choice
22,V4,66,43,54,55,No Choice
23,V4,67,37,50,62,No Choice
24,V4,67,37,49,60,No Choice
25,V4,67,39,55,52,No Choice
26,V4,64,39,51,63,No Choice
27,V4,68,36,55,60,No Choice
28,V4,67,40,46,54,No Choice
29,V4,67,41,50,57,No Choice
30,V4,66,39,49,53,No Choice
31,V4,70,38,48,58,No Choice
32,V4,63,40,53,61,No Choice
33,V4,66,41,51,56,No Choice
34,V4,64,39,46,57,No Choice
35,V4,69,36,50,58,No Choice
36,V4,60,43,53,54,No Choice
37,V4,52,78,68,66,No Choice
38,V4,44,81,68,62,No Choice
39,V4,59,71,70,63,No Choice
40,V4,53,77,73,59,No Choice
41,V4,53,76,74,66,No Choice
42,V4,51,79,73,59,No Choice
43,V4,48,76,68,65,No Choice
44,V4,57,83,78,63,No Choice
45,V4,54,74,69,61,No Choice
46,V4,53,85,66,62,No Choice
47,V4,56,83,68,57,No Choice
48,V4,49,74,73,59,No Choice
49,V4,54,74,70,60,No Choice
50,V4,47,83,69,60,No Choice
51,V4,54,78,73,56,No Choice
52,V4,52,76,71,58,No Choice
53,V4,51,82,76,63,No Choice
54,V4,57,76,69,64,No Choice
55,V4,49,75,68,59,No Choice
56,V4,55,81,66,65,No Choice
57,V4,58,80,72,63,No Choice
58,V4,49,81,66,62,No Choice
59,V4,57,78,73,59,No Choice
60,V4,48,79,66,59,No Choice
61,V4,53,80,72,60,No Choice
62,V4,53,79,70,61,No Choice
63,V4,81,66,90,66,No Choice
64,V4,80,64,85,76,No Choice
65,V4,77,61,92,74,No Choice
66,V4,89,65,91,73,No Choice
67,V4,86,64,92,70,No Choice
68,V4,82,60,91,77,No Choice
69,V4,78,69,90,70,No Choice
70,V4,85,64,95,73,No Choice
71,V4,85,61,88,69,No Choice
72,V4,86,63,87,75,No Choice
73,V4,86,69,92,70,No Choice
74,V4,81,62,90,69,No Choice
75,V4,83,66,88,74,No Choice
76,V4,80,64,92,75,No Choice
77,V4,81,65,91,74,No Choice
78,V4,78,70,89,73,No Choice
79,V4,84,66,85,75,No Choice
80,V4,83,65,93,74,No Choice
81,V4,86,59,91,74,No Choice
82,V4,87,64,92,73,No Choice
83,V4,83,68,86,70,No Choice
84,V4,82,62,87,73,No Choice
85,V4,85,61,90,70,No Choice
86,V4,84,66,97,71,No Choice
87,V4,82,64,87,71,No Choice
88,V4,80,67,93,72,No Choice
89,V4,78,64,92,75,No Choice
90,V4,75,66,88,72,No Choice
91,V4,82,59,91,76,No Choice
92,V4,84,62,91,70,No Choice
93,V4,80,61,94,76,No Choice
94,V4,83,64,88,72,No Choice
95,V4,82,60,94,69,No Choice
96,V4,84,63,92,72,No Choice
97,V4,84,62,85,70,No Choice
98,V4,81,64,93,72,No Choice
99,V4,80,61,92,75,No Choice
