Trial,block,square1,square2,square3,square4,invalid
0,V11,42,67,57,49,No Choice
1,V11,42,71,60,53,No Choice
2,V11,45,76,58,51,No Choice
3,V11,44,65,60,49,No Choice
4,V11,46,73,64,51,No Choice
5,V11,47,67,58,54,No Choice
6,V11,43,68,58,50,No Choice
7,V11,42,67,60,58,No Choice
8,V11,44,67,60,53,No Choice
9,V11,44,67,59,54,No Choice
10,V11,49,76,57,52,No Choice
11,V11,45,71,58,51,No Choice
12,V11,45,72,58,56,No Choice
13,V11,49,67,63,54,No Choice
14,V11,50,75,57,48,No Choice
15,V11,40,71,61,51,No Choice
16,V11,47,72,56,54,No Choice
17,V11,40,71,61,46,No Choice
18,V11,44,69,59,51,No Choice
19,V11,44,73,59,47,No Choice
20,V11,47,69,64,54,No Choice
21,V11,78,49,70,65,No Choice
22,V11,78,56,73,62,No Choice
23,V11,84,54,71,65,No Choice
24,V11,80,55,72,67,No Choice
25,V11,80,55,75,63,No Choice
26,V11,80,56,67,62,No Choice
27,V11,80,51,68,62,No Choice
28,V11,79,57,67,57,No Choice
29,V11,79,50,67,62,No Choice
30,V11,88,54,74,61,No Choice
31,V11,81,51,75,63,No Choice
32,V11,76,51,69,65,No Choice
33,V11,78,54,72,64,No Choice
34,V11,77,53,71,62,No Choice
35,V11,74,59,75,62,No Choice
36,V11,79,50,72,62,No Choice
37,V11,74,54,68,62,No Choice
38,V11,80,57,65,58,No Choice
39,V11,73,52,75,66,No Choice
40,V11,82,57,71,57,No Choice
41,V11,78,53,73,64,No Choice
42,V11,72,56,67,59,No Choice
43,V11,81,54,73,63,No Choice
44,V11,76,54,75,59,No Choice
45,V11,79,59,71,64,No Choice
46,V11,80,55,67,57,No Choice
47,V11,84,53,75,56,No Choice
48,V11,83,57,71,60,No Choice
49,V11,79,52,71,60,No Choice
50,V11,76,50,69,60,No Choice
51,V11,79,54,72,57,No Choice
52,V11,80,54,72,64,No Choice
53,V11,35,50,55,69,No Choice
54,V11,45,48,55,73,No Choice
55,V11,43,53,58,70,No Choice
56,V11,40,46,60,62,No Choice
57,V11,44,46,53,71,No Choice
58,V11,44,52,55,68,No Choice
59,V11,44,44,57,66,No Choice
60,V11,40,46,57,62,No Choice
61,V11,42,52,58,62,No Choice
62,V11,40,49,56,71,No Choice
63,V11,40,54,60,66,No Choice
64,V11,41,43,51,66,No Choice
65,V11,39,48,59,66,No Choice
66,V11,40,48,59,69,No Choice
67,V11,46,45,58,69,No Choice
68,V11,41,50,56,69,No Choice
69,V11,48,49,57,71,No Choice
70,V11,41,47,58,65,No Choice
71,V11,37,46,58,60,No Choice
72,V11,41,47,54,65,No Choice
73,V11,42,47,60,67,No Choice
74,V11,43,49,57,64,No Choice
75,V11,38,46,57,66,No Choice
76,V11,42,50,58,68,No Choice
77,V11,36,49,58,64,No Choice
78,V11,40,50,56,67,No Choice
79,V11,39,48,56,67,No Choice
80,V11,51,33,30,45,No Choice
81,V11,49,31,23,48,No Choice
82,V11,55,30,25,42,No Choice
83,V11,50,33,27,48,No Choice
84,V11,52,34,25,43,No Choice
85,V11,49,28,28,44,No Choice
86,V11,57,29,27,48,No Choice
87,V11,49,29,21,38,No Choice
88,V11,55,32,29,46,No Choice
89,V11,50,28,23,43,No Choice
90,V11,54,34,32,41,No Choice
91,V11,50,34,26,44,No Choice
92,V11,51,31,27,50,No Choice
93,V11,49,38,28,42,No Choice
94,V11,50,29,25,46,No Choice
95,V11,51,36,22,40,No Choice
96,V11,52,34,32,45,No Choice
97,V11,53,27,32,44,No Choice
98,V11,60,31,25,48,No Choice
99,V11,53,33,23,42,No Choice
