Trial,block,square1,square2,square3,square4,invalid
0,NS10,61,42,19,80,No Choice
1,NS10,62,41,25,78,No Choice
2,NS10,64,42,22,80,No Choice
3,NS10,66,50,21,73,No Choice
4,NS10,65,48,19,80,No Choice
5,NS10,66,48,23,75,No Choice
6,NS10,60,47,26,77,No Choice
7,NS10,66,43,25,81,No Choice
8,NS10,72,42,23,80,No Choice
9,NS10,66,45,21,81,No Choice
10,NS10,69,46,29,77,No Choice
11,NS10,68,44,27,70,No Choice
12,NS10,68,46,27,65,No Choice
13,NS10,67,50,23,65,No Choice
14,NS10,67,49,31,61,No Choice
15,NS10,71,51,28,69,No Choice
16,NS10,71,48,25,64,No Choice
17,NS10,68,48,25,60,No Choice
18,NS10,68,49,23,66,No Choice
19,NS10,67,51,23,64,No Choice
20,NS10,65,54,29,58,No Choice
21,NS10,61,58,22,61,No Choice
22,NS10,67,51,23,60,No Choice
23,NS10,65,57,22,60,No Choice
24,NS10,67,58,26,56,No Choice
25,NS10,70,67,26,60,No Choice
26,NS10,71,58,24,55,No Choice
27,NS10,74,57,24,59,No Choice
28,NS10,76,62,24,56,No Choice
29,NS10,78,66,21,61,No Choice
30,NS10,74,62,20,52,No Choice
31,NS10,74,63,21,53,No Choice
32,NS10,77,62,19,50,No Choice
33,NS10,74,63,21,50,No Choice
34,NS10,69,64,16,47,No Choice
35,NS10,68,60,14,51,No Choice
36,NS10,76,59,13,52,No Choice
37,NS10,71,60,16,50,No Choice
38,NS10,70,56,27,49,No Choice
39,NS10,75,59,22,49,No Choice
40,NS10,70,56,27,51,No Choice
41,NS10,73,57,24,54,No Choice
42,NS10,70,58,24,51,No Choice
43,NS10,70,60,26,45,No Choice
44,NS10,68,58,27,53,No Choice
45,NS10,70,61,31,49,No Choice
46,NS10,65,60,29,43,No Choice
47,NS10,65,61,32,44,No Choice
48,NS10,67,58,31,46,No Choice
49,NS10,76,55,38,43,No Choice
50,NS10,74,65,36,40,No Choice
51,NS10,74,58,34,40,No Choice
52,NS10,69,65,28,43,No Choice
53,NS10,69,65,32,40,No Choice
54,NS10,72,61,32,41,No Choice
55,NS10,65,64,36,33,No Choice
56,NS10,75,64,37,37,No Choice
57,NS10,72,62,36,38,No Choice
58,NS10,63,68,38,33,No Choice
59,NS10,65,64,43,34,No Choice
60,NS10,62,64,51,40,No Choice
61,NS10,61,65,45,38,No Choice
62,NS10,66,63,41,37,No Choice
63,NS10,67,62,45,41,No Choice
64,NS10,72,60,44,36,No Choice
65,NS10,73,65,42,39,No Choice
66,NS10,72,67,45,43,No Choice
67,NS10,66,70,44,40,No Choice
68,NS10,61,69,45,44,No Choice
69,NS10,64,68,42,43,No Choice
70,NS10,66,72,41,42,No Choice
71,NS10,64,72,46,45,No Choice
72,NS10,64,69,44,39,No Choice
73,NS10,60,74,48,45,No Choice
74,NS10,57,75,48,41,No Choice
75,NS10,66,75,46,40,No Choice
76,NS10,63,77,46,40,No Choice
77,NS10,62,74,43,34,No Choice
78,NS10,60,71,48,33,No Choice
79,NS10,63,68,47,29,No Choice
80,NS10,54,71,42,32,No Choice
81,NS10,52,72,44,30,No Choice
82,NS10,51,77,41,31,No Choice
83,NS10,52,63,41,35,No Choice
84,NS10,48,70,37,34,No Choice
85,NS10,51,73,38,30,No Choice
86,NS10,55,79,45,27,No Choice
87,NS10,54,83,47,21,No Choice
88,NS10,59,78,45,21,No Choice
89,NS10,60,74,45,21,No Choice
90,NS10,55,71,50,18,No Choice
91,NS10,56,71,46,14,No Choice
92,NS10,59,70,46,20,No Choice
93,NS10,65,72,46,21,No Choice
94,NS10,63,68,46,20,No Choice
95,NS10,69,70,48,22,No Choice
96,NS10,68,69,45,27,No Choice
97,NS10,74,69,43,35,No Choice
98,NS10,73,68,43,30,No Choice
99,NS10,70,61,39,32,No Choice
