Trial,block,square1,square2,square3,square4,invalid
0,S3,38,48,42,57,No Choice
1,S3,29,43,51,57,No Choice
2,S3,41,49,46,49,No Choice
3,S3,44,50,45,52,No Choice
4,S3,37,51,45,58,No Choice
5,S3,47,43,42,49,No Choice
6,S3,44,53,51,58,No Choice
7,S3,39,47,46,54,No Choice
8,S3,43,53,41,52,No Choice
9,S3,42,46,41,53,No Choice
10,S3,37,49,49,55,No Choice
11,S3,40,47,36,59,No Choice
12,S3,46,51,39,56,No Choice
13,S3,39,48,45,57,No Choice
14,S3,39,55,43,47,No Choice
15,S3,46,46,47,52,No Choice
16,S3,42,49,50,55,No Choice
17,S3,45,45,56,47,No Choice
18,S3,46,43,45,50,No Choice
19,S3,41,47,50,55,No Choice
20,S3,45,52,49,52,No Choice
21,S3,40,43,47,46,No Choice
22,S3,45,46,44,47,No Choice
23,S3,36,50,42,46,No Choice
24,S3,42,54,49,55,No Choice
25,S3,43,51,44,54,No Choice
26,S3,49,50,52,52,No Choice
27,S3,47,52,44,50,No Choice
28,S3,37,48,40,47,No Choice
29,S3,50,43,50,57,No Choice
30,S3,50,50,46,47,No Choice
31,S3,37,53,49,56,No Choice
32,S3,42,50,43,58,No Choice
33,S3,44,49,46,59,No Choice
34,S3,42,50,50,58,No Choice
35,S3,43,46,45,50,No Choice
36,S3,46,52,50,48,No Choice
37,S3,48,50,49,52,No Choice
38,S3,39,43,50,55,No Choice
39,S3,50,53,46,57,No Choice
40,S3,41,46,48,55,No Choice
41,S3,49,49,40,56,No Choice
42,S3,47,49,43,48,No Choice
43,S3,46,43,41,58,No Choice
44,S3,46,52,51,55,No Choice
45,S3,46,41,46,49,No Choice
46,S3,32,56,40,50,No Choice
47,S3,42,49,44,51,No Choice
48,S3,36,45,38,50,No Choice
49,S3,45,48,47,52,No Choice
