Trial,block,square1,square2,square3,square4,invalid
0,S5,90,70,79,84,No Choice
1,S5,92,77,83,81,No Choice
2,S5,83,72,81,76,No Choice
3,S5,87,72,79,81,No Choice
4,S5,86,81,78,72,No Choice
5,S5,89,70,79,83,No Choice
6,S5,86,69,81,81,No Choice
7,S5,82,72,86,80,No Choice
8,S5,84,67,80,77,No Choice
9,S5,92,80,86,84,No Choice
10,S5,82,71,80,80,No Choice
11,S5,80,75,79,75,No Choice
12,S5,84,75,80,82,No Choice
13,S5,85,74,74,81,No Choice
14,S5,81,79,85,81,No Choice
15,S5,81,75,76,77,No Choice
16,S5,86,74,78,74,No Choice
17,S5,81,77,81,77,No Choice
18,S5,87,70,84,82,No Choice
19,S5,84,76,83,76,No Choice
20,S5,79,78,82,76,No Choice
21,S5,86,68,80,72,No Choice
22,S5,93,80,85,84,No Choice
23,S5,87,73,76,70,No Choice
24,S5,85,69,81,78,No Choice
25,S5,89,77,77,76,No Choice
26,S5,84,71,81,75,No Choice
27,S5,84,75,82,71,No Choice
28,S5,83,72,82,78,No Choice
29,S5,91,67,79,74,No Choice
30,S5,82,69,81,77,No Choice
31,S5,82,72,80,78,No Choice
32,S5,83,73,91,80,No Choice
33,S5,83,68,85,78,No Choice
34,S5,89,79,83,77,No Choice
35,S5,88,72,79,80,No Choice
36,S5,90,74,84,76,No Choice
37,S5,85,75,80,82,No Choice
38,S5,78,74,85,79,No Choice
39,S5,87,73,87,85,No Choice
40,S5,83,67,81,80,No Choice
41,S5,82,69,88,80,No Choice
42,S5,85,78,91,80,No Choice
43,S5,89,74,78,74,No Choice
44,S5,90,74,77,85,No Choice
45,S5,89,68,81,78,No Choice
46,S5,86,70,86,68,No Choice
47,S5,90,77,85,84,No Choice
48,S5,76,66,82,79,No Choice
49,S5,84,73,82,75,No Choice
