Trial,block,square1,square2,square3,square4,invalid
0,NS11,78,37,30,78,No Choice
1,NS11,85,34,30,76,No Choice
2,NS11,79,33,36,77,No Choice
3,NS11,82,33,28,72,No Choice
4,NS11,82,34,33,76,No Choice
5,NS11,78,38,32,83,No Choice
6,NS11,78,37,34,77,No Choice
7,NS11,80,30,33,74,No Choice
8,NS11,79,32,30,73,No Choice
9,NS11,81,41,34,61,No Choice
10,NS11,76,38,25,64,No Choice
11,NS11,79,34,27,65,No Choice
12,NS11,81,32,25,68,No Choice
13,NS11,84,36,24,64,No Choice
14,NS11,80,30,24,61,No Choice
15,NS11,86,33,22,66,No Choice
16,NS11,85,32,20,64,No Choice
17,NS11,83,32,22,71,No Choice
18,NS11,80,31,19,66,No Choice
19,NS11,75,40,23,69,No Choice
20,NS11,73,37,14,67,No Choice
21,NS11,81,34,23,70,No Choice
22,NS11,77,39,16,73,No Choice
23,NS11,78,30,23,74,No Choice
24,NS11,80,32,26,68,No Choice
25,NS11,81,29,29,73,No Choice
26,NS11,77,31,26,69,No Choice
27,NS11,69,47,29,64,No Choice
28,NS11,69,39,28,71,No Choice
29,NS11,71,41,24,66,No Choice
30,NS11,70,40,21,68,No Choice
31,NS11,72,44,21,68,No Choice
32,NS11,72,41,19,75,No Choice
33,NS11,66,48,21,72,No Choice
34,NS11,67,48,24,72,No Choice
35,NS11,58,52,14,73,No Choice
36,NS11,61,52,23,70,No Choice
37,NS11,50,55,29,67,No Choice
38,NS11,51,54,20,64,No Choice
39,NS11,54,49,26,63,No Choice
40,NS11,50,47,24,70,No Choice
41,NS11,54,46,23,63,No Choice
42,NS11,54,47,25,61,No Choice
43,NS11,46,49,33,72,No Choice
44,NS11,54,50,38,72,No Choice
45,NS11,56,53,39,81,No Choice
46,NS11,57,55,33,77,No Choice
47,NS11,56,51,32,76,No Choice
48,NS11,58,49,29,85,No Choice
49,NS11,58,53,27,83,No Choice
50,NS11,62,49,24,80,No Choice
51,NS11,57,55,23,77,No Choice
52,NS11,56,55,20,77,No Choice
53,NS11,59,56,20,78,No Choice
54,NS11,58,57,27,74,No Choice
55,NS11,60,55,24,79,No Choice
56,NS11,60,52,22,77,No Choice
57,NS11,58,55,22,72,No Choice
58,NS11,63,52,22,75,No Choice
59,NS11,62,56,17,70,No Choice
60,NS11,61,55,22,70,No Choice
61,NS11,57,52,21,76,No Choice
62,NS11,57,48,28,75,No Choice
63,NS11,57,58,30,68,No Choice
64,NS11,61,61,27,74,No Choice
65,NS11,67,63,40,71,No Choice
66,NS11,69,55,38,73,No Choice
67,NS11,72,57,36,65,No Choice
68,NS11,71,61,36,64,No Choice
69,NS11,74,66,37,58,No Choice
70,NS11,69,60,40,66,No Choice
71,NS11,71,58,40,64,No Choice
72,NS11,72,58,46,67,No Choice
73,NS11,72,56,47,65,No Choice
74,NS11,66,54,47,63,No Choice
75,NS11,75,53,43,58,No Choice
76,NS11,75,48,40,59,No Choice
77,NS11,65,48,36,58,No Choice
78,NS11,70,45,37,59,No Choice
79,NS11,70,41,36,59,No Choice
80,NS11,73,43,39,59,No Choice
81,NS11,72,39,38,60,No Choice
82,NS11,72,39,44,65,No Choice
83,NS11,68,38,40,61,No Choice
84,NS11,69,36,36,64,No Choice
85,NS11,70,34,40,69,No Choice
86,NS11,70,32,36,71,No Choice
87,NS11,69,31,37,70,No Choice
88,NS11,69,34,41,67,No Choice
89,NS11,67,39,44,67,No Choice
90,NS11,64,33,36,69,No Choice
91,NS11,60,33,38,67,No Choice
92,NS11,60,33,37,68,No Choice
93,NS11,54,36,38,73,No Choice
94,NS11,58,35,39,68,No Choice
95,NS11,50,38,32,77,No Choice
96,NS11,53,42,30,71,No Choice
97,NS11,54,38,32,75,No Choice
98,NS11,52,48,32,72,No Choice
99,NS11,55,45,33,73,No Choice
