Trial,block,square1,square2,square3,square4,invalid
0,S6,40,29,39,26,No Choice
1,S6,34,40,31,25,No Choice
2,S6,37,31,25,30,No Choice
3,S6,39,37,30,27,No Choice
4,S6,42,40,28,32,No Choice
5,S6,35,35,39,29,No Choice
6,S6,48,30,37,33,No Choice
7,S6,47,34,31,29,No Choice
8,S6,43,35,30,25,No Choice
9,S6,36,38,35,35,No Choice
10,S6,38,35,31,21,No Choice
11,S6,30,36,31,20,No Choice
12,S6,37,40,33,22,No Choice
13,S6,32,41,35,29,No Choice
14,S6,41,29,30,32,No Choice
15,S6,43,37,31,27,No Choice
16,S6,34,34,35,31,No Choice
17,S6,47,40,29,28,No Choice
18,S6,37,38,34,35,No Choice
19,S6,36,39,31,26,No Choice
20,S6,44,40,31,25,No Choice
21,S6,39,41,35,24,No Choice
22,S6,41,38,41,31,No Choice
23,S6,37,31,30,32,No Choice
24,S6,48,34,34,21,No Choice
25,S6,42,45,26,29,No Choice
26,S6,40,39,36,28,No Choice
27,S6,42,33,29,29,No Choice
28,S6,41,30,29,29,No Choice
29,S6,42,40,32,27,No Choice
30,S6,42,36,30,26,No Choice
31,S6,42,34,35,29,No Choice
32,S6,35,36,31,23,No Choice
33,S6,35,31,35,30,No Choice
34,S6,40,38,31,27,No Choice
35,S6,42,37,34,34,No Choice
36,S6,37,46,31,34,No Choice
37,S6,38,40,30,26,No Choice
38,S6,36,34,31,33,No Choice
39,S6,44,37,33,31,No Choice
40,S6,40,38,31,25,No Choice
41,S6,49,35,35,28,No Choice
42,S6,44,40,32,28,No Choice
43,S6,43,36,33,26,No Choice
44,S6,38,33,34,26,No Choice
45,S6,32,35,30,28,No Choice
46,S6,38,36,34,30,No Choice
47,S6,44,35,32,31,No Choice
48,S6,40,40,31,33,No Choice
49,S6,41,29,29,29,No Choice
