Trial,block,square1,square2,square3,square4,invalid
0,NS6,68,18,30,58,No Choice
1,NS6,62,23,38,67,No Choice
2,NS6,59,30,33,67,No Choice
3,NS6,62,27,39,65,No Choice
4,NS6,65,22,32,67,No Choice
5,NS6,61,28,39,67,No Choice
6,NS6,59,28,39,66,No Choice
7,NS6,56,30,43,63,No Choice
8,NS6,57,26,36,60,No Choice
9,NS6,51,30,38,65,No Choice
10,NS6,46,26,41,61,No Choice
11,NS6,46,30,40,58,No Choice
12,NS6,44,27,41,56,No Choice
13,NS6,41,32,44,54,No Choice
14,NS6,45,36,41,51,No Choice
15,NS6,37,34,39,54,No Choice
16,NS6,36,37,39,48,No Choice
17,NS6,41,39,36,45,No Choice
18,NS6,39,38,29,48,No Choice
19,NS6,35,40,32,46,No Choice
20,NS6,41,40,28,55,No Choice
21,NS6,45,44,27,54,No Choice
22,NS6,44,51,31,53,No Choice
23,NS6,44,50,29,53,No Choice
24,NS6,49,49,35,55,No Choice
25,NS6,44,51,36,56,No Choice
26,NS6,43,46,38,58,No Choice
27,NS6,41,44,41,59,No Choice
28,NS6,38,47,39,58,No Choice
29,NS6,39,46,37,54,No Choice
30,NS6,36,49,40,53,No Choice
31,NS6,37,45,36,55,No Choice
32,NS6,42,42,40,56,No Choice
33,NS6,33,44,32,53,No Choice
34,NS6,32,42,36,49,No Choice
35,NS6,35,28,38,51,No Choice
36,NS6,38,28,35,52,No Choice
37,NS6,44,31,37,55,No Choice
38,NS6,36,31,36,54,No Choice
39,NS6,40,29,41,60,No Choice
40,NS6,46,33,36,62,No Choice
41,NS6,44,38,34,63,No Choice
42,NS6,43,32,29,59,No Choice
43,NS6,47,29,38,61,No Choice
44,NS6,49,33,36,56,No Choice
45,NS6,51,29,32,60,No Choice
46,NS6,52,36,41,64,No Choice
47,NS6,55,35,46,60,No Choice
48,NS6,57,34,40,64,No Choice
49,NS6,54,37,42,59,No Choice
50,NS6,58,40,35,51,No Choice
51,NS6,64,35,36,53,No Choice
52,NS6,60,37,30,52,No Choice
53,NS6,63,40,30,54,No Choice
54,NS6,60,37,30,53,No Choice
55,NS6,57,40,29,50,No Choice
56,NS6,58,30,30,46,No Choice
57,NS6,64,34,31,45,No Choice
58,NS6,66,31,34,48,No Choice
59,NS6,68,31,35,44,No Choice
60,NS6,65,28,27,49,No Choice
61,NS6,67,29,25,47,No Choice
62,NS6,67,31,27,41,No Choice
63,NS6,69,32,24,45,No Choice
64,NS6,72,41,30,50,No Choice
65,NS6,75,35,33,50,No Choice
66,NS6,71,37,26,49,No Choice
67,NS6,74,34,21,49,No Choice
68,NS6,81,37,27,50,No Choice
69,NS6,80,31,25,49,No Choice
70,NS6,83,33,31,46,No Choice
71,NS6,75,33,34,53,No Choice
72,NS6,73,39,32,55,No Choice
73,NS6,74,40,33,53,No Choice
74,NS6,73,46,32,50,No Choice
75,NS6,71,40,32,49,No Choice
76,NS6,65,43,31,56,No Choice
77,NS6,66,41,33,56,No Choice
78,NS6,71,40,38,64,No Choice
79,NS6,69,36,35,62,No Choice
80,NS6,69,34,37,69,No Choice
81,NS6,70,37,37,71,No Choice
82,NS6,68,38,39,66,No Choice
83,NS6,69,42,41,73,No Choice
84,NS6,62,42,42,70,No Choice
85,NS6,57,45,42,77,No Choice
86,NS6,58,47,44,70,No Choice
87,NS6,62,44,52,73,No Choice
88,NS6,62,45,47,72,No Choice
89,NS6,59,50,47,73,No Choice
90,NS6,55,45,44,68,No Choice
91,NS6,55,51,47,67,No Choice
92,NS6,62,52,35,69,No Choice
93,NS6,59,47,32,68,No Choice
94,NS6,67,53,44,66,No Choice
95,NS6,71,44,47,66,No Choice
96,NS6,68,53,47,66,No Choice
97,NS6,65,49,44,64,No Choice
98,NS6,66,54,55,57,No Choice
99,NS6,69,57,51,56,No Choice
