Trial,block,square1,square2,square3,square4,invalid
0,NS7,26,62,36,41,No Choice
1,NS7,31,61,40,42,No Choice
2,NS7,30,60,46,41,No Choice
3,NS7,27,57,46,39,No Choice
4,NS7,20,58,45,39,No Choice
5,NS7,29,57,46,42,No Choice
6,NS7,28,61,44,40,No Choice
7,NS7,24,56,46,40,No Choice
8,NS7,25,66,45,36,No Choice
9,NS7,27,65,46,40,No Choice
10,NS7,27,65,41,46,No Choice
11,NS7,26,58,40,51,No Choice
12,NS7,19,64,43,57,No Choice
13,NS7,21,64,43,54,No Choice
14,NS7,26,67,44,55,No Choice
15,NS7,20,64,40,61,No Choice
16,NS7,20,61,38,66,No Choice
17,NS7,20,56,39,64,No Choice
18,NS7,21,56,33,65,No Choice
19,NS7,21,56,36,68,No Choice
20,NS7,26,58,37,64,No Choice
21,NS7,29,62,36,61,No Choice
22,NS7,24,63,37,55,No Choice
23,NS7,26,64,38,54,No Choice
24,NS7,18,65,39,53,No Choice
25,NS7,20,62,36,53,No Choice
26,NS7,24,56,39,52,No Choice
27,NS7,31,58,36,51,No Choice
28,NS7,28,59,42,53,No Choice
29,NS7,30,57,36,51,No Choice
30,NS7,29,57,35,53,No Choice
31,NS7,27,59,37,48,No Choice
32,NS7,29,59,38,45,No Choice
33,NS7,35,58,37,52,No Choice
34,NS7,33,59,43,52,No Choice
35,NS7,37,61,43,49,No Choice
36,NS7,36,62,48,54,No Choice
37,NS7,35,62,46,57,No Choice
38,NS7,37,59,52,53,No Choice
39,NS7,32,57,50,59,No Choice
40,NS7,30,56,54,59,No Choice
41,NS7,36,54,52,56,No Choice
42,NS7,30,55,57,55,No Choice
43,NS7,35,52,54,58,No Choice
44,NS7,30,56,55,57,No Choice
45,NS7,28,63,57,58,No Choice
46,NS7,29,60,58,57,No Choice
47,NS7,31,58,54,53,No Choice
48,NS7,27,58,59,48,No Choice
49,NS7,28,48,60,54,No Choice
50,NS7,27,49,62,53,No Choice
51,NS7,41,49,63,56,No Choice
52,NS7,36,43,66,56,No Choice
53,NS7,41,51,69,54,No Choice
54,NS7,37,52,63,53,No Choice
55,NS7,40,51,60,54,No Choice
56,NS7,45,57,63,59,No Choice
57,NS7,42,49,64,53,No Choice
58,NS7,39,49,62,52,No Choice
59,NS7,47,49,67,54,No Choice
60,NS7,43,53,70,55,No Choice
61,NS7,41,48,69,52,No Choice
62,NS7,39,48,65,54,No Choice
63,NS7,38,48,64,56,No Choice
64,NS7,34,46,65,51,No Choice
65,NS7,43,51,63,53,No Choice
66,NS7,41,51,64,50,No Choice
67,NS7,44,51,63,54,No Choice
68,NS7,42,49,62,48,No Choice
69,NS7,41,50,63,52,No Choice
70,NS7,45,45,59,53,No Choice
71,NS7,44,40,52,52,No Choice
72,NS7,51,38,55,47,No Choice
73,NS7,42,36,49,47,No Choice
74,NS7,44,40,46,48,No Choice
75,NS7,46,38,45,53,No Choice
76,NS7,48,44,40,53,No Choice
77,NS7,45,42,40,55,No Choice
78,NS7,41,39,40,56,No Choice
79,NS7,44,38,41,55,No Choice
80,NS7,48,49,48,62,No Choice
81,NS7,44,47,43,61,No Choice
82,NS7,45,46,38,54,No Choice
83,NS7,44,40,41,57,No Choice
84,NS7,47,46,41,53,No Choice
85,NS7,50,45,45,54,No Choice
86,NS7,45,43,44,54,No Choice
87,NS7,43,47,49,55,No Choice
88,NS7,40,48,44,58,No Choice
89,NS7,40,44,47,54,No Choice
90,NS7,38,43,48,55,No Choice
91,NS7,36,45,43,55,No Choice
92,NS7,29,44,45,53,No Choice
93,NS7,33,46,44,57,No Choice
94,NS7,32,43,52,47,No Choice
95,NS7,41,46,50,51,No Choice
96,NS7,38,41,46,52,No Choice
97,NS7,41,44,40,52,No Choice
98,NS7,45,41,41,55,No Choice
99,NS7,39,41,39,53,No Choice
