Trial,block,square1,square2,square3,square4,invalid
0,V8,49,55,64,74,No Choice
1,V8,51,54,70,81,No Choice
2,V8,46,62,70,77,No Choice
3,V8,46,56,67,75,No Choice
4,V8,50,59,67,83,No Choice
5,V8,51,54,65,78,No Choice
6,V8,45,57,66,80,No Choice
7,V8,46,64,68,77,No Choice
8,V8,50,57,66,73,No Choice
9,V8,46,56,71,72,No Choice
10,V8,56,58,67,75,No Choice
11,V8,50,61,69,74,No Choice
12,V8,59,59,69,77,No Choice
13,V8,50,56,72,77,No Choice
14,V8,48,55,65,80,No Choice
15,V8,48,58,65,76,No Choice
16,V8,49,58,67,75,No Choice
17,V8,51,56,68,76,No Choice
18,V8,52,63,69,80,No Choice
19,V8,54,54,71,79,No Choice
20,V8,48,53,62,77,No Choice
21,V8,44,61,66,77,No Choice
22,V8,52,58,64,78,No Choice
23,V8,50,49,67,79,No Choice
24,V8,49,59,69,74,No Choice
25,V8,46,61,65,81,No Choice
26,V8,49,58,63,35,No Choice
27,V8,48,51,66,41,No Choice
28,V8,46,55,65,38,No Choice
29,V8,47,58,69,40,No Choice
30,V8,42,55,67,43,No Choice
31,V8,49,56,64,36,No Choice
32,V8,49,55,69,38,No Choice
33,V8,44,52,65,48,No Choice
34,V8,44,57,70,45,No Choice
35,V8,44,54,68,38,No Choice
36,V8,45,56,64,40,No Choice
37,V8,47,57,66,37,No Choice
38,V8,49,50,66,37,No Choice
39,V8,51,56,61,39,No Choice
40,V8,47,59,66,41,No Choice
41,V8,42,56,69,42,No Choice
42,V8,47,57,72,35,No Choice
43,V8,47,57,63,44,No Choice
44,V8,45,58,67,42,No Choice
45,V8,44,56,66,43,No Choice
46,V8,46,53,70,37,No Choice
47,V8,54,53,71,41,No Choice
48,V8,49,53,69,37,No Choice
49,V8,39,57,65,47,No Choice
50,V8,48,55,65,41,No Choice
51,V8,45,61,68,43,No Choice
52,V8,53,52,68,37,No Choice
53,V8,47,55,66,46,No Choice
54,V8,49,53,61,39,No Choice
55,V8,53,70,55,72,No Choice
56,V8,57,63,48,73,No Choice
57,V8,53,71,45,80,No Choice
58,V8,57,69,52,73,No Choice
59,V8,58,67,54,73,No Choice
60,V8,55,66,47,76,No Choice
61,V8,56,65,54,72,No Choice
62,V8,56,65,49,75,No Choice
63,V8,61,65,44,78,No Choice
64,V8,54,66,48,75,No Choice
65,V8,59,65,46,79,No Choice
66,V8,51,62,46,73,No Choice
67,V8,60,70,45,76,No Choice
68,V8,63,64,47,73,No Choice
69,V8,58,66,43,77,No Choice
70,V8,59,65,49,73,No Choice
71,V8,60,64,49,79,No Choice
72,V8,96,68,78,67,No Choice
73,V8,96,68,79,64,No Choice
74,V8,92,67,81,62,No Choice
75,V8,96,72,83,62,No Choice
76,V8,94,70,77,57,No Choice
77,V8,91,68,81,59,No Choice
78,V8,90,73,80,63,No Choice
79,V8,90,73,83,61,No Choice
80,V8,95,75,81,66,No Choice
81,V8,92,72,81,57,No Choice
82,V8,91,71,80,61,No Choice
83,V8,90,66,83,62,No Choice
84,V8,93,67,87,65,No Choice
85,V8,85,70,80,62,No Choice
86,V8,84,72,85,62,No Choice
87,V8,91,68,82,65,No Choice
88,V8,93,67,83,61,No Choice
89,V8,95,68,78,66,No Choice
90,V8,91,73,80,60,No Choice
91,V8,93,68,81,64,No Choice
92,V8,90,75,82,67,No Choice
93,V8,92,70,82,66,No Choice
94,V8,90,71,78,63,No Choice
95,V8,88,65,78,63,No Choice
96,V8,89,72,85,62,No Choice
97,V8,92,72,77,67,No Choice
98,V8,86,63,82,62,No Choice
99,V8,90,66,75,61,No Choice
