Trial,block,square1,square2,square3,square4,invalid
0,S10,72,76,80,64,No Choice
1,S10,76,75,74,65,No Choice
2,S10,70,72,79,74,No Choice
3,S10,69,77,76,68,No Choice
4,S10,72,79,77,70,No Choice
5,S10,68,74,72,64,No Choice
6,S10,70,77,72,62,No Choice
7,S10,78,81,80,74,No Choice
8,S10,78,78,82,66,No Choice
9,S10,69,76,77,65,No Choice
10,S10,72,78,72,75,No Choice
11,S10,71,76,78,66,No Choice
12,S10,73,83,79,69,No Choice
13,S10,68,77,65,65,No Choice
14,S10,69,84,79,65,No Choice
15,S10,72,84,70,71,No Choice
16,S10,79,80,82,67,No Choice
17,S10,69,83,75,70,No Choice
18,S10,69,75,69,68,No Choice
19,S10,70,83,73,66,No Choice
20,S10,69,83,75,66,No Choice
21,S10,77,70,75,70,No Choice
22,S10,73,77,81,69,No Choice
23,S10,73,78,70,65,No Choice
24,S10,70,80,75,66,No Choice
25,S10,70,80,73,72,No Choice
26,S10,73,75,73,75,No Choice
27,S10,77,81,83,66,No Choice
28,S10,73,79,79,73,No Choice
29,S10,73,79,72,69,No Choice
30,S10,71,85,79,69,No Choice
31,S10,71,85,83,66,No Choice
32,S10,78,79,77,65,No Choice
33,S10,83,79,72,68,No Choice
34,S10,68,74,79,72,No Choice
35,S10,70,83,79,67,No Choice
36,S10,67,76,75,72,No Choice
37,S10,76,82,79,60,No Choice
38,S10,72,75,69,68,No Choice
39,S10,73,78,76,70,No Choice
40,S10,76,77,66,60,No Choice
41,S10,74,83,73,67,No Choice
42,S10,72,69,80,63,No Choice
43,S10,69,74,72,68,No Choice
44,S10,67,76,70,65,No Choice
45,S10,76,81,74,72,No Choice
46,S10,76,79,76,66,No Choice
47,S10,67,81,84,60,No Choice
48,S10,73,83,75,66,No Choice
49,S10,66,77,74,71,No Choice
