Trial,block,square1,square2,square3,square4,invalid
0,S9,36,36,32,32,No Choice
1,S9,40,29,36,24,No Choice
2,S9,31,43,22,29,No Choice
3,S9,41,33,28,27,No Choice
4,S9,34,29,32,31,No Choice
5,S9,41,32,22,29,No Choice
6,S9,44,30,21,28,No Choice
7,S9,39,37,26,24,No Choice
8,S9,41,33,23,20,No Choice
9,S9,30,35,24,27,No Choice
10,S9,41,29,23,28,No Choice
11,S9,37,38,22,33,No Choice
12,S9,35,31,27,32,No Choice
13,S9,38,37,30,29,No Choice
14,S9,36,38,30,37,No Choice
15,S9,40,29,27,24,No Choice
16,S9,33,37,29,28,No Choice
17,S9,41,32,36,31,No Choice
18,S9,39,26,16,35,No Choice
19,S9,35,30,23,27,No Choice
20,S9,39,34,23,29,No Choice
21,S9,35,37,28,31,No Choice
22,S9,37,30,23,38,No Choice
23,S9,37,34,27,34,No Choice
24,S9,31,34,26,27,No Choice
25,S9,38,40,29,24,No Choice
26,S9,43,31,21,24,No Choice
27,S9,30,31,23,28,No Choice
28,S9,44,32,31,32,No Choice
29,S9,36,38,22,22,No Choice
30,S9,41,30,26,29,No Choice
31,S9,39,37,30,32,No Choice
32,S9,35,39,28,31,No Choice
33,S9,37,39,29,32,No Choice
34,S9,46,33,21,25,No Choice
35,S9,38,33,28,28,No Choice
36,S9,40,37,21,32,No Choice
37,S9,38,43,23,37,No Choice
38,S9,36,31,29,29,No Choice
39,S9,41,29,26,28,No Choice
40,S9,32,36,26,28,No Choice
41,S9,40,37,35,28,No Choice
42,S9,43,32,26,37,No Choice
43,S9,40,31,23,31,No Choice
44,S9,42,38,24,40,No Choice
45,S9,36,35,30,33,No Choice
46,S9,38,30,33,26,No Choice
47,S9,39,37,25,26,No Choice
48,S9,36,35,26,27,No Choice
49,S9,40,32,24,28,No Choice
