Trial,block,square1,square2,square3,square4,invalid
0,S1,72,58,70,66,No Choice
1,S1,75,64,66,69,No Choice
2,S1,75,62,62,79,No Choice
3,S1,68,62,63,69,No Choice
4,S1,82,63,64,73,No Choice
5,S1,66,70,65,73,No Choice
6,S1,73,65,62,65,No Choice
7,S1,70,61,65,66,No Choice
8,S1,78,63,67,68,No Choice
9,S1,74,67,66,68,No Choice
10,S1,73,59,68,68,No Choice
11,S1,76,65,62,81,No Choice
12,S1,77,66,69,63,No Choice
13,S1,75,63,68,73,No Choice
14,S1,67,60,67,69,No Choice
15,S1,70,63,69,73,No Choice
16,S1,69,61,69,69,No Choice
17,S1,73,68,67,73,No Choice
18,S1,70,58,73,66,No Choice
19,S1,75,58,62,68,No Choice
20,S1,76,58,72,67,No Choice
21,S1,69,66,66,67,No Choice
22,S1,70,68,65,65,No Choice
23,S1,71,60,64,64,No Choice
24,S1,70,72,62,67,No Choice
25,S1,68,60,70,65,No Choice
26,S1,76,64,72,69,No Choice
27,S1,71,56,70,65,No Choice
28,S1,67,67,71,76,No Choice
29,S1,78,64,64,74,No Choice
30,S1,74,63,65,71,No Choice
31,S1,78,58,69,69,No Choice
32,S1,71,67,68,60,No Choice
33,S1,68,63,65,73,No Choice
34,S1,71,62,74,73,No Choice
35,S1,75,59,67,77,No Choice
36,S1,77,60,66,67,No Choice
37,S1,69,60,69,75,No Choice
38,S1,77,64,62,70,No Choice
39,S1,72,66,69,65,No Choice
40,S1,69,63,66,69,No Choice
41,S1,72,62,70,70,No Choice
42,S1,78,60,63,62,No Choice
43,S1,71,62,67,73,No Choice
44,S1,75,63,69,73,No Choice
45,S1,66,60,68,73,No Choice
46,S1,74,67,69,71,No Choice
47,S1,71,66,68,70,No Choice
48,S1,72,75,71,77,No Choice
49,S1,65,57,66,75,No Choice
