Trial,block,square1,square2,square3,square4,invalid
0,S4,18,16,34,20,No Choice
1,S4,33,26,26,23,No Choice
2,S4,35,15,33,22,No Choice
3,S4,28,19,27,27,No Choice
4,S4,27,16,25,28,No Choice
5,S4,23,22,31,24,No Choice
6,S4,25,20,34,23,No Choice
7,S4,21,22,30,21,No Choice
8,S4,33,24,33,17,No Choice
9,S4,24,18,31,28,No Choice
10,S4,31,26,35,20,No Choice
11,S4,25,15,31,25,No Choice
12,S4,24,16,29,22,No Choice
13,S4,28,23,25,17,No Choice
14,S4,22,23,21,23,No Choice
15,S4,25,19,28,25,No Choice
16,S4,26,17,30,21,No Choice
17,S4,22,21,29,22,No Choice
18,S4,28,22,32,22,No Choice
19,S4,26,19,31,26,No Choice
20,S4,28,18,28,25,No Choice
21,S4,33,26,21,29,No Choice
22,S4,31,19,29,20,No Choice
23,S4,27,21,36,26,No Choice
24,S4,28,15,32,21,No Choice
25,S4,27,18,28,25,No Choice
26,S4,26,20,27,14,No Choice
27,S4,28,19,36,18,No Choice
28,S4,28,19,28,23,No Choice
29,S4,25,22,29,23,No Choice
30,S4,26,16,30,20,No Choice
31,S4,23,25,26,30,No Choice
32,S4,21,26,22,23,No Choice
33,S4,25,22,24,17,No Choice
34,S4,30,22,33,24,No Choice
35,S4,23,21,35,26,No Choice
36,S4,19,21,33,24,No Choice
37,S4,20,17,26,26,No Choice
38,S4,28,20,28,26,No Choice
39,S4,28,23,40,27,No Choice
40,S4,25,24,32,22,No Choice
41,S4,23,23,26,17,No Choice
42,S4,26,18,33,22,No Choice
43,S4,22,21,36,25,No Choice
44,S4,21,18,33,14,No Choice
45,S4,29,19,30,29,No Choice
46,S4,21,16,22,23,No Choice
47,S4,22,18,28,22,No Choice
48,S4,33,21,32,26,No Choice
49,S4,23,17,20,21,No Choice
