Trial,block,square1,square2,square3,square4,invalid
0,NS1,60,65,21,53,No Choice
1,NS1,56,62,31,51,No Choice
2,NS1,58,62,24,57,No Choice
3,NS1,56,58,33,58,No Choice
4,NS1,60,58,32,58,No Choice
5,NS1,56,59,31,54,No Choice
6,NS1,58,57,37,56,No Choice
7,NS1,57,53,37,57,No Choice
8,NS1,58,57,37,54,No Choice
9,NS1,53,50,36,55,No Choice
10,NS1,58,47,32,53,No Choice
11,NS1,55,44,34,53,No Choice
12,NS1,56,44,30,45,No Choice
13,NS1,60,47,34,48,No Choice
14,NS1,54,48,37,54,No Choice
15,NS1,53,44,35,51,No Choice
16,NS1,50,50,35,43,No Choice
17,NS1,53,46,35,44,No Choice
18,NS1,54,51,42,48,No Choice
19,NS1,62,51,44,53,No Choice
20,NS1,63,47,42,47,No Choice
21,NS1,67,51,41,46,No Choice
22,NS1,75,44,45,43,No Choice
23,NS1,64,42,41,47,No Choice
24,NS1,68,41,39,49,No Choice
25,NS1,71,43,33,42,No Choice
26,NS1,70,41,26,45,No Choice
27,NS1,72,42,34,48,No Choice
28,NS1,71,41,33,45,No Choice
29,NS1,77,42,31,48,No Choice
30,NS1,73,41,33,51,No Choice
31,NS1,71,44,35,48,No Choice
32,NS1,81,47,33,50,No Choice
33,NS1,75,50,27,42,No Choice
34,NS1,71,49,27,44,No Choice
35,NS1,69,47,23,47,No Choice
36,NS1,71,50,32,45,No Choice
37,NS1,66,48,33,52,No Choice
38,NS1,64,50,34,51,No Choice
39,NS1,65,49,25,47,No Choice
40,NS1,66,46,23,50,No Choice
41,NS1,68,45,22,50,No Choice
42,NS1,74,41,28,50,No Choice
43,NS1,69,42,27,52,No Choice
44,NS1,71,38,32,49,No Choice
45,NS1,68,38,30,55,No Choice
46,NS1,66,39,30,56,No Choice
47,NS1,62,35,31,50,No Choice
48,NS1,68,31,32,49,No Choice
49,NS1,66,33,35,46,No Choice
50,NS1,64,30,32,46,No Choice
51,NS1,66,35,39,43,No Choice
52,NS1,67,33,37,49,No Choice
53,NS1,70,32,35,47,No Choice
54,NS1,62,40,28,43,No Choice
55,NS1,66,39,26,43,No Choice
56,NS1,64,38,26,44,No Choice
57,NS1,63,41,24,48,No Choice
58,NS1,67,49,24,48,No Choice
59,NS1,57,51,27,43,No Choice
60,NS1,56,51,31,42,No Choice
61,NS1,55,50,25,49,No Choice
62,NS1,55,51,27,50,No Choice
63,NS1,53,51,27,50,No Choice
64,NS1,53,56,27,50,No Choice
65,NS1,49,56,26,49,No Choice
66,NS1,47,61,29,50,No Choice
67,NS1,47,56,27,50,No Choice
68,NS1,47,64,29,48,No Choice
69,NS1,54,67,24,53,No Choice
70,NS1,44,70,21,48,No Choice
71,NS1,45,67,26,52,No Choice
72,NS1,44,64,22,49,No Choice
73,NS1,43,60,23,51,No Choice
74,NS1,47,59,26,57,No Choice
75,NS1,44,56,27,51,No Choice
76,NS1,34,55,21,52,No Choice
77,NS1,39,64,17,55,No Choice
78,NS1,38,64,25,52,No Choice
79,NS1,40,65,24,54,No Choice
80,NS1,44,66,21,53,No Choice
81,NS1,50,60,27,54,No Choice
82,NS1,43,62,20,57,No Choice
83,NS1,44,55,24,59,No Choice
84,NS1,41,51,28,61,No Choice
85,NS1,49,49,29,70,No Choice
86,NS1,47,44,26,66,No Choice
87,NS1,48,48,23,68,No Choice
88,NS1,46,51,20,70,No Choice
89,NS1,45,50,17,75,No Choice
90,NS1,50,48,18,74,No Choice
91,NS1,46,53,17,67,No Choice
92,NS1,38,56,22,65,No Choice
93,NS1,38,53,22,66,No Choice
94,NS1,42,49,24,72,No Choice
95,NS1,44,48,25,70,No Choice
96,NS1,35,50,21,67,No Choice
97,NS1,43,55,16,72,No Choice
98,NS1,46,50,21,73,No Choice
99,NS1,43,46,27,71,No Choice
