Trial,block,square1,square2,square3,square4,invalid
0,V1,46,61,52,71,No Choice
1,V1,45,63,54,78,No Choice
2,V1,51,58,59,77,No Choice
3,V1,53,65,56,75,No Choice
4,V1,49,68,53,72,No Choice
5,V1,47,70,59,76,No Choice
6,V1,55,63,54,76,No Choice
7,V1,47,67,55,74,No Choice
8,V1,47,65,46,76,No Choice
9,V1,46,68,59,78,No Choice
10,V1,58,67,58,79,No Choice
11,V1,44,61,54,72,No Choice
12,V1,44,65,56,75,No Choice
13,V1,47,63,53,73,No Choice
14,V1,49,66,56,75,No Choice
15,V1,49,66,52,79,No Choice
16,V1,51,61,48,72,No Choice
17,V1,46,61,59,71,No Choice
18,V1,45,61,53,72,No Choice
19,V1,49,63,54,76,No Choice
20,V1,46,66,52,72,No Choice
21,V1,50,65,51,73,No Choice
22,V1,56,62,56,77,No Choice
23,V1,45,67,54,83,No Choice
24,V1,46,69,57,71,No Choice
25,V1,41,65,55,76,No Choice
26,V1,51,60,55,74,No Choice
27,V1,52,63,56,73,No Choice
28,V1,50,68,50,76,No Choice
29,V1,51,60,54,74,No Choice
30,V1,35,67,57,40,No Choice
31,V1,38,60,52,35,No Choice
32,V1,37,67,52,41,No Choice
33,V1,37,62,53,42,No Choice
34,V1,35,58,54,43,No Choice
35,V1,40,60,50,44,No Choice
36,V1,39,66,50,39,No Choice
37,V1,32,59,54,38,No Choice
38,V1,32,64,50,39,No Choice
39,V1,37,60,45,40,No Choice
40,V1,35,61,54,43,No Choice
41,V1,33,62,49,42,No Choice
42,V1,31,70,52,42,No Choice
43,V1,37,59,48,41,No Choice
44,V1,39,63,53,44,No Choice
45,V1,37,62,48,41,No Choice
46,V1,34,65,52,39,No Choice
47,V1,42,59,52,43,No Choice
48,V1,39,62,50,38,No Choice
49,V1,33,63,49,40,No Choice
50,V1,38,66,54,37,No Choice
51,V1,33,66,50,37,No Choice
52,V1,41,65,55,44,No Choice
53,V1,75,50,46,60,No Choice
54,V1,74,53,45,61,No Choice
55,V1,74,54,43,65,No Choice
56,V1,73,54,44,56,No Choice
57,V1,67,58,52,63,No Choice
58,V1,72,51,43,62,No Choice
59,V1,68,47,49,56,No Choice
60,V1,72,55,46,65,No Choice
61,V1,76,50,46,62,No Choice
62,V1,77,58,46,66,No Choice
63,V1,72,53,48,66,No Choice
64,V1,70,49,49,60,No Choice
65,V1,68,49,46,66,No Choice
66,V1,77,52,41,64,No Choice
67,V1,74,56,42,69,No Choice
68,V1,77,50,46,68,No Choice
69,V1,76,48,45,63,No Choice
70,V1,71,53,50,65,No Choice
71,V1,70,56,44,59,No Choice
72,V1,74,54,55,61,No Choice
73,V1,73,53,47,61,No Choice
74,V1,71,53,51,65,No Choice
75,V1,72,51,48,64,No Choice
76,V1,72,53,49,62,No Choice
77,V1,62,76,64,86,No Choice
78,V1,61,74,63,87,No Choice
79,V1,56,78,67,89,No Choice
80,V1,59,75,63,84,No Choice
81,V1,63,74,68,82,No Choice
82,V1,59,75,67,80,No Choice
83,V1,58,77,63,82,No Choice
84,V1,57,76,64,87,No Choice
85,V1,61,73,66,83,No Choice
86,V1,60,71,66,85,No Choice
87,V1,61,80,73,84,No Choice
88,V1,67,77,67,85,No Choice
89,V1,60,79,63,86,No Choice
90,V1,60,74,66,88,No Choice
91,V1,57,81,61,79,No Choice
92,V1,61,78,61,84,No Choice
93,V1,64,72,69,83,No Choice
94,V1,64,73,68,83,No Choice
95,V1,61,69,68,87,No Choice
96,V1,55,77,65,88,No Choice
97,V1,61,75,63,82,No Choice
98,V1,59,71,66,82,No Choice
99,V1,61,69,67,84,No Choice
