Trial,block,square1,square2,square3,square4,invalid
0,S8,58,60,52,45,No Choice
1,S8,55,57,56,52,No Choice
2,S8,54,58,58,49,No Choice
3,S8,55,62,52,53,No Choice
4,S8,55,60,49,51,No Choice
5,S8,48,63,61,49,No Choice
6,S8,58,63,59,55,No Choice
7,S8,56,53,49,51,No Choice
8,S8,61,63,66,49,No Choice
9,S8,60,59,53,47,No Choice
10,S8,55,63,52,55,No Choice
11,S8,62,60,54,50,No Choice
12,S8,58,64,51,52,No Choice
13,S8,62,59,53,53,No Choice
14,S8,51,62,61,54,No Choice
15,S8,56,68,56,50,No Choice
16,S8,58,64,56,50,No Choice
17,S8,64,63,60,42,No Choice
18,S8,54,64,57,55,No Choice
19,S8,56,53,57,53,No Choice
20,S8,59,64,56,49,No Choice
21,S8,54,59,55,48,No Choice
22,S8,63,63,59,49,No Choice
23,S8,59,60,48,52,No Choice
24,S8,55,53,60,50,No Choice
25,S8,57,60,55,54,No Choice
26,S8,62,66,57,58,No Choice
27,S8,58,55,52,48,No Choice
28,S8,53,59,53,55,No Choice
29,S8,60,58,57,53,No Choice
30,S8,57,67,52,56,No Choice
31,S8,60,58,52,50,No Choice
32,S8,54,61,56,57,No Choice
33,S8,66,64,63,52,No Choice
34,S8,54,65,66,56,No Choice
35,S8,54,62,61,48,No Choice
36,S8,53,63,54,55,No Choice
37,S8,64,58,57,51,No Choice
38,S8,68,65,59,57,No Choice
39,S8,64,65,51,55,No Choice
40,S8,63,61,57,47,No Choice
41,S8,65,58,55,49,No Choice
42,S8,52,60,51,56,No Choice
43,S8,63,57,48,50,No Choice
44,S8,59,63,53,53,No Choice
45,S8,62,62,60,53,No Choice
46,S8,56,62,57,60,No Choice
47,S8,60,63,58,56,No Choice
48,S8,59,63,49,53,No Choice
49,S8,67,67,59,55,No Choice
