Trial,block,square1,square2,square3,square4,invalid
0,NS8,61,62,34,32,No Choice
1,NS8,57,56,38,27,No Choice
2,NS8,66,55,42,28,No Choice
3,NS8,67,51,37,28,No Choice
4,NS8,65,53,38,32,No Choice
5,NS8,67,52,43,33,No Choice
6,NS8,56,47,41,36,No Choice
7,NS8,58,46,37,31,No Choice
8,NS8,60,58,36,35,No Choice
9,NS8,60,66,41,39,No Choice
10,NS8,60,60,36,33,No Choice
11,NS8,53,63,32,35,No Choice
12,NS8,51,60,32,29,No Choice
13,NS8,53,65,30,32,No Choice
14,NS8,56,69,25,33,No Choice
15,NS8,57,71,29,35,No Choice
16,NS8,55,64,31,33,No Choice
17,NS8,48,65,29,32,No Choice
18,NS8,44,64,28,34,No Choice
19,NS8,46,60,26,33,No Choice
20,NS8,41,58,29,35,No Choice
21,NS8,45,57,29,35,No Choice
22,NS8,47,53,32,32,No Choice
23,NS8,49,52,33,35,No Choice
24,NS8,56,53,30,37,No Choice
25,NS8,57,48,28,42,No Choice
26,NS8,52,48,33,43,No Choice
27,NS8,53,45,28,47,No Choice
28,NS8,50,43,27,41,No Choice
29,NS8,53,52,29,43,No Choice
30,NS8,54,51,30,41,No Choice
31,NS8,50,50,31,42,No Choice
32,NS8,50,50,35,43,No Choice
33,NS8,46,48,39,41,No Choice
34,NS8,47,46,41,40,No Choice
35,NS8,57,45,36,37,No Choice
36,NS8,53,49,41,38,No Choice
37,NS8,57,50,41,39,No Choice
38,NS8,61,51,39,43,No Choice
39,NS8,59,54,41,36,No Choice
40,NS8,53,55,47,40,No Choice
41,NS8,53,55,43,39,No Choice
42,NS8,59,55,45,40,No Choice
43,NS8,54,46,51,37,No Choice
44,NS8,56,44,50,35,No Choice
45,NS8,51,46,41,37,No Choice
46,NS8,52,43,44,34,No Choice
47,NS8,46,41,36,37,No Choice
48,NS8,47,46,39,37,No Choice
49,NS8,48,36,38,40,No Choice
50,NS8,51,37,36,46,No Choice
51,NS8,53,38,40,43,No Choice
52,NS8,47,32,37,44,No Choice
53,NS8,52,31,38,46,No Choice
54,NS8,44,34,40,45,No Choice
55,NS8,46,26,37,41,No Choice
56,NS8,42,29,36,40,No Choice
57,NS8,39,21,39,40,No Choice
58,NS8,42,18,39,40,No Choice
59,NS8,46,16,41,39,No Choice
60,NS8,45,20,40,39,No Choice
61,NS8,45,26,42,39,No Choice
62,NS8,46,21,45,37,No Choice
63,NS8,50,23,40,38,No Choice
64,NS8,46,24,41,33,No Choice
65,NS8,48,28,42,32,No Choice
66,NS8,47,20,40,35,No Choice
67,NS8,49,25,46,34,No Choice
68,NS8,47,24,45,33,No Choice
69,NS8,45,21,47,35,No Choice
70,NS8,44,21,47,37,No Choice
71,NS8,44,15,41,38,No Choice
72,NS8,47,19,49,40,No Choice
73,NS8,39,21,53,38,No Choice
74,NS8,42,19,53,35,No Choice
75,NS8,37,18,43,35,No Choice
76,NS8,35,14,42,38,No Choice
77,NS8,38,19,47,44,No Choice
78,NS8,38,18,50,46,No Choice
79,NS8,33,22,54,44,No Choice
80,NS8,38,21,56,52,No Choice
81,NS8,37,22,56,43,No Choice
82,NS8,30,26,60,42,No Choice
83,NS8,38,22,54,46,No Choice
84,NS8,33,18,52,46,No Choice
85,NS8,42,12,57,48,No Choice
86,NS8,45,19,58,42,No Choice
87,NS8,46,10,65,44,No Choice
88,NS8,45,11,59,45,No Choice
89,NS8,42,11,60,47,No Choice
90,NS8,40,7,64,49,No Choice
91,NS8,42,11,64,48,No Choice
92,NS8,43,13,60,43,No Choice
93,NS8,44,12,64,45,No Choice
94,NS8,45,16,65,49,No Choice
95,NS8,45,24,66,42,No Choice
96,NS8,53,27,67,44,No Choice
97,NS8,50,29,68,43,No Choice
98,NS8,52,29,66,37,No Choice
99,NS8,53,32,65,37,No Choice
