Trial,block,square1,square2,square3,square4,invalid
0,V7,86,61,78,68,No Choice
1,V7,95,62,79,70,No Choice
2,V7,89,67,81,77,No Choice
3,V7,90,56,85,72,No Choice
4,V7,91,65,77,71,No Choice
5,V7,91,58,84,72,No Choice
6,V7,94,65,87,72,No Choice
7,V7,89,67,79,67,No Choice
8,V7,91,65,84,68,No Choice
9,V7,92,60,87,69,No Choice
10,V7,90,67,81,76,No Choice
11,V7,86,67,83,73,No Choice
12,V7,90,62,80,72,No Choice
13,V7,84,60,88,71,No Choice
14,V7,95,64,80,70,No Choice
15,V7,86,60,81,70,No Choice
16,V7,85,65,77,69,No Choice
17,V7,91,65,81,70,No Choice
18,V7,95,61,81,76,No Choice
19,V7,90,58,79,72,No Choice
20,V7,94,68,80,79,No Choice
21,V7,92,66,82,70,No Choice
22,V7,92,64,83,72,No Choice
23,V7,91,68,82,73,No Choice
24,V7,87,71,82,72,No Choice
25,V7,91,68,90,74,No Choice
26,V7,89,65,83,72,No Choice
27,V7,91,61,81,73,No Choice
28,V7,90,66,81,72,No Choice
29,V7,89,67,77,71,No Choice
30,V7,95,68,84,71,No Choice
31,V7,95,61,81,70,No Choice
32,V7,89,65,82,75,No Choice
33,V7,77,50,80,61,No Choice
34,V7,76,54,78,61,No Choice
35,V7,71,51,80,64,No Choice
36,V7,75,51,80,62,No Choice
37,V7,73,58,86,63,No Choice
38,V7,73,50,86,61,No Choice
39,V7,67,53,78,61,No Choice
40,V7,71,53,84,58,No Choice
41,V7,75,51,83,63,No Choice
42,V7,69,48,87,63,No Choice
43,V7,70,58,81,60,No Choice
44,V7,68,56,76,63,No Choice
45,V7,74,59,76,56,No Choice
46,V7,72,54,77,61,No Choice
47,V7,69,47,81,62,No Choice
48,V7,75,52,81,57,No Choice
49,V7,74,55,78,60,No Choice
50,V7,71,51,80,61,No Choice
51,V7,75,55,85,62,No Choice
52,V7,75,59,76,59,No Choice
53,V7,72,53,84,66,No Choice
54,V7,69,51,81,60,No Choice
55,V7,74,56,75,54,No Choice
56,V7,76,51,83,58,No Choice
57,V7,71,53,80,64,No Choice
58,V7,81,56,79,61,No Choice
59,V7,71,55,83,59,No Choice
60,V7,73,53,83,64,No Choice
61,V7,70,53,77,63,No Choice
62,V7,71,54,76,61,No Choice
63,V7,68,45,79,65,No Choice
64,V7,65,55,79,59,No Choice
65,V7,74,54,81,61,No Choice
66,V7,70,56,81,63,No Choice
67,V7,70,85,64,92,No Choice
68,V7,73,85,68,92,No Choice
69,V7,75,83,70,91,No Choice
70,V7,75,85,69,91,No Choice
71,V7,71,86,65,94,No Choice
72,V7,77,86,65,98,No Choice
73,V7,77,84,63,94,No Choice
74,V7,71,86,64,91,No Choice
75,V7,73,90,60,90,No Choice
76,V7,79,84,68,95,No Choice
77,V7,73,85,66,89,No Choice
78,V7,75,82,67,91,No Choice
79,V7,72,85,60,90,No Choice
80,V7,73,83,66,97,No Choice
81,V7,73,84,67,92,No Choice
82,V7,69,84,65,91,No Choice
83,V7,76,83,72,99,No Choice
84,V7,72,84,70,94,No Choice
85,V7,77,83,67,88,No Choice
86,V7,76,80,67,90,No Choice
87,V7,70,86,67,95,No Choice
88,V7,76,84,67,100,No Choice
89,V7,71,88,60,97,No Choice
90,V7,69,82,71,95,No Choice
91,V7,80,84,65,92,No Choice
92,V7,77,85,68,85,No Choice
93,V7,72,84,66,91,No Choice
94,V7,69,83,66,95,No Choice
95,V7,70,86,75,91,No Choice
96,V7,74,85,66,88,No Choice
97,V7,77,82,73,91,No Choice
98,V7,76,91,62,94,No Choice
99,V7,74,84,67,88,No Choice
