Trial,block,square1,square2,square3,square4,invalid
0,NS12,80,24,40,79,No Choice
1,NS12,78,28,44,78,No Choice
2,NS12,77,28,37,82,No Choice
3,NS12,76,33,39,82,No Choice
4,NS12,79,37,34,78,No Choice
5,NS12,83,33,28,81,No Choice
6,NS12,77,39,33,80,No Choice
7,NS12,77,40,25,85,No Choice
8,NS12,77,40,29,87,No Choice
9,NS12,70,42,29,88,No Choice
10,NS12,65,47,31,86,No Choice
11,NS12,67,46,26,84,No Choice
12,NS12,67,36,26,84,No Choice
13,NS12,69,33,23,82,No Choice
14,NS12,66,35,20,81,No Choice
15,NS12,66,30,23,78,No Choice
16,NS12,69,28,17,74,No Choice
17,NS12,66,32,20,78,No Choice
18,NS12,60,33,26,76,No Choice
19,NS12,63,37,23,76,No Choice
20,NS12,59,36,24,78,No Choice
21,NS12,59,35,25,79,No Choice
22,NS12,61,37,26,88,No Choice
23,NS12,61,37,25,83,No Choice
24,NS12,61,39,26,85,No Choice
25,NS12,63,30,29,77,No Choice
26,NS12,58,39,29,83,No Choice
27,NS12,60,34,32,85,No Choice
28,NS12,63,32,35,77,No Choice
29,NS12,61,35,23,79,No Choice
30,NS12,57,27,30,69,No Choice
31,NS12,64,29,26,69,No Choice
32,NS12,65,29,33,69,No Choice
33,NS12,68,29,33,73,No Choice
34,NS12,69,29,29,67,No Choice
35,NS12,66,32,30,61,No Choice
36,NS12,64,27,26,58,No Choice
37,NS12,65,32,27,67,No Choice
38,NS12,63,32,30,64,No Choice
39,NS12,65,30,30,70,No Choice
40,NS12,71,37,32,69,No Choice
41,NS12,66,45,37,69,No Choice
42,NS12,75,42,35,65,No Choice
43,NS12,82,39,35,57,No Choice
44,NS12,81,34,34,61,No Choice
45,NS12,74,33,36,59,No Choice
46,NS12,77,32,40,57,No Choice
47,NS12,79,32,39,60,No Choice
48,NS12,80,28,34,62,No Choice
49,NS12,76,23,37,64,No Choice
50,NS12,75,25,37,65,No Choice
51,NS12,74,25,39,70,No Choice
52,NS12,79,26,40,73,No Choice
53,NS12,75,25,33,69,No Choice
54,NS12,79,25,38,68,No Choice
55,NS12,81,22,34,68,No Choice
56,NS12,72,29,39,69,No Choice
57,NS12,72,28,38,73,No Choice
58,NS12,69,25,32,71,No Choice
59,NS12,75,30,33,69,No Choice
60,NS12,68,28,39,68,No Choice
61,NS12,69,32,37,60,No Choice
62,NS12,63,37,39,55,No Choice
63,NS12,63,38,43,54,No Choice
64,NS12,60,30,35,55,No Choice
65,NS12,60,37,34,55,No Choice
66,NS12,61,40,35,51,No Choice
67,NS12,65,37,35,53,No Choice
68,NS12,62,33,38,50,No Choice
69,NS12,56,41,29,54,No Choice
70,NS12,56,39,30,57,No Choice
71,NS12,61,40,33,64,No Choice
72,NS12,51,42,35,67,No Choice
73,NS12,56,39,39,67,No Choice
74,NS12,50,38,40,63,No Choice
75,NS12,52,37,41,67,No Choice
76,NS12,47,40,46,67,No Choice
77,NS12,45,35,47,67,No Choice
78,NS12,44,38,52,66,No Choice
79,NS12,41,38,52,64,No Choice
80,NS12,36,41,57,58,No Choice
81,NS12,36,42,66,63,No Choice
82,NS12,35,44,65,62,No Choice
83,NS12,37,42,70,65,No Choice
84,NS12,35,39,72,58,No Choice
85,NS12,30,40,62,55,No Choice
86,NS12,36,40,65,59,No Choice
87,NS12,31,41,67,57,No Choice
88,NS12,30,50,67,52,No Choice
89,NS12,28,41,69,54,No Choice
90,NS12,29,41,61,57,No Choice
91,NS12,30,36,59,54,No Choice
92,NS12,28,29,60,54,No Choice
93,NS12,30,35,62,52,No Choice
94,NS12,30,36,60,56,No Choice
95,NS12,29,33,63,60,No Choice
96,NS12,29,30,59,59,No Choice
97,NS12,31,35,61,61,No Choice
98,NS12,31,40,67,58,No Choice
99,NS12,33,37,65,67,No Choice
