Trial,block,square1,square2,square3,square4,invalid
0,V9,20,29,37,45,No Choice
1,V9,21,32,39,45,No Choice
2,V9,16,27,41,48,No Choice
3,V9,20,30,42,50,No Choice
4,V9,22,34,37,47,No Choice
5,V9,17,32,38,49,No Choice
6,V9,17,25,39,47,No Choice
7,V9,22,28,33,48,No Choice
8,V9,20,24,34,41,No Choice
9,V9,20,33,30,51,No Choice
10,V9,21,35,38,50,No Choice
11,V9,19,29,44,45,No Choice
12,V9,27,24,38,54,No Choice
13,V9,15,26,37,50,No Choice
14,V9,24,26,39,42,No Choice
15,V9,26,27,43,49,No Choice
16,V9,19,30,42,49,No Choice
17,V9,21,30,34,49,No Choice
18,V9,25,33,41,51,No Choice
19,V9,17,31,41,45,No Choice
20,V9,19,31,34,49,No Choice
21,V9,23,29,37,48,No Choice
22,V9,15,32,36,48,No Choice
23,V9,25,33,39,47,No Choice
24,V9,21,30,38,52,No Choice
25,V9,25,29,42,48,No Choice
26,V9,22,29,39,47,No Choice
27,V9,17,31,45,41,No Choice
28,V9,29,28,43,43,No Choice
29,V9,20,31,43,49,No Choice
30,V9,23,33,39,48,No Choice
31,V9,20,27,38,53,No Choice
32,V9,23,29,37,49,No Choice
33,V9,24,33,37,49,No Choice
34,V9,43,58,48,30,No Choice
35,V9,48,59,45,34,No Choice
36,V9,39,56,54,32,No Choice
37,V9,40,57,50,35,No Choice
38,V9,49,62,51,33,No Choice
39,V9,45,61,48,34,No Choice
40,V9,40,65,51,29,No Choice
41,V9,44,57,50,38,No Choice
42,V9,40,57,49,33,No Choice
43,V9,42,64,54,35,No Choice
44,V9,44,55,49,39,No Choice
45,V9,37,66,51,35,No Choice
46,V9,40,59,51,32,No Choice
47,V9,38,62,57,31,No Choice
48,V9,43,61,54,34,No Choice
49,V9,43,61,49,40,No Choice
50,V9,37,58,51,32,No Choice
51,V9,44,63,48,39,No Choice
52,V9,35,65,48,30,No Choice
53,V9,43,59,48,39,No Choice
54,V9,43,59,52,30,No Choice
55,V9,41,58,51,34,No Choice
56,V9,44,63,50,33,No Choice
57,V9,42,60,49,32,No Choice
58,V9,44,62,57,30,No Choice
59,V9,45,61,45,31,No Choice
60,V9,43,63,53,33,No Choice
61,V9,39,56,55,31,No Choice
62,V9,39,61,50,34,No Choice
63,V9,44,57,48,36,No Choice
64,V9,40,60,58,35,No Choice
65,V9,42,60,54,38,No Choice
66,V9,41,60,54,37,No Choice
67,V9,43,61,54,40,No Choice
68,V9,45,40,26,18,No Choice
69,V9,50,41,29,20,No Choice
70,V9,43,36,27,15,No Choice
71,V9,44,40,28,18,No Choice
72,V9,42,38,27,18,No Choice
73,V9,46,33,25,19,No Choice
74,V9,47,40,28,20,No Choice
75,V9,39,39,27,25,No Choice
76,V9,50,31,29,23,No Choice
77,V9,44,37,28,13,No Choice
78,V9,43,36,23,17,No Choice
79,V9,42,36,28,24,No Choice
80,V9,47,35,30,14,No Choice
81,V9,46,33,29,18,No Choice
82,V9,46,35,28,18,No Choice
83,V9,47,41,32,15,No Choice
84,V9,45,38,31,18,No Choice
85,V9,42,35,30,21,No Choice
86,V9,49,39,23,18,No Choice
87,V9,49,39,27,16,No Choice
88,V9,45,38,25,14,No Choice
89,V9,45,32,28,19,No Choice
90,V9,44,35,29,20,No Choice
91,V9,42,38,32,16,No Choice
92,V9,45,36,23,20,No Choice
93,V9,45,35,26,18,No Choice
94,V9,44,37,27,13,No Choice
95,V9,46,36,25,20,No Choice
96,V9,43,39,27,16,No Choice
97,V9,48,39,30,16,No Choice
98,V9,49,40,26,20,No Choice
99,V9,49,41,27,18,No Choice
