Trial,block,square1,square2,square3,square4,invalid
0,V6,43,59,68,49,No Choice
1,V6,43,62,71,50,No Choice
2,V6,48,61,72,51,No Choice
3,V6,46,55,71,51,No Choice
4,V6,44,61,74,48,No Choice
5,V6,45,62,70,51,No Choice
6,V6,42,67,73,46,No Choice
7,V6,44,63,71,53,No Choice
8,V6,41,62,73,52,No Choice
9,V6,46,59,72,54,No Choice
10,V6,45,59,70,53,No Choice
11,V6,45,60,70,49,No Choice
12,V6,45,66,64,48,No Choice
13,V6,45,61,69,47,No Choice
14,V6,47,60,71,56,No Choice
15,V6,46,64,67,52,No Choice
16,V6,50,60,69,54,No Choice
17,V6,43,60,70,53,No Choice
18,V6,46,63,72,55,No Choice
19,V6,46,65,73,51,No Choice
20,V6,44,63,66,51,No Choice
21,V6,43,63,70,49,No Choice
22,V6,45,63,71,50,No Choice
23,V6,45,38,28,60,No Choice
24,V6,46,33,33,53,No Choice
25,V6,45,36,32,63,No Choice
26,V6,52,37,28,57,No Choice
27,V6,45,33,30,62,No Choice
28,V6,43,37,24,51,No Choice
29,V6,48,39,34,61,No Choice
30,V6,48,44,35,59,No Choice
31,V6,50,39,34,53,No Choice
32,V6,44,33,33,54,No Choice
33,V6,48,37,30,56,No Choice
34,V6,52,37,27,59,No Choice
35,V6,47,32,29,59,No Choice
36,V6,45,37,27,56,No Choice
37,V6,39,37,31,57,No Choice
38,V6,50,38,29,56,No Choice
39,V6,48,37,27,57,No Choice
40,V6,53,37,29,57,No Choice
41,V6,41,34,33,58,No Choice
42,V6,50,37,31,57,No Choice
43,V6,48,34,30,58,No Choice
44,V6,44,37,33,60,No Choice
45,V6,44,32,33,55,No Choice
46,V6,44,36,33,59,No Choice
47,V6,42,34,29,52,No Choice
48,V6,46,41,28,60,No Choice
49,V6,46,40,27,55,No Choice
50,V6,46,41,32,55,No Choice
51,V6,41,39,30,55,No Choice
52,V6,47,37,31,55,No Choice
53,V6,57,36,30,58,No Choice
54,V6,42,38,28,50,No Choice
55,V6,56,42,67,46,No Choice
56,V6,54,37,68,46,No Choice
57,V6,57,40,64,52,No Choice
58,V6,53,45,68,45,No Choice
59,V6,59,41,69,49,No Choice
60,V6,62,41,71,51,No Choice
61,V6,58,50,72,51,No Choice
62,V6,61,43,65,47,No Choice
63,V6,55,40,67,51,No Choice
64,V6,56,43,67,47,No Choice
65,V6,62,46,67,48,No Choice
66,V6,55,44,67,48,No Choice
67,V6,61,46,70,49,No Choice
68,V6,63,41,72,46,No Choice
69,V6,59,41,68,48,No Choice
70,V6,59,37,70,45,No Choice
71,V6,83,64,56,70,No Choice
72,V6,82,59,53,75,No Choice
73,V6,85,67,58,73,No Choice
74,V6,79,67,61,73,No Choice
75,V6,84,62,53,69,No Choice
76,V6,81,60,55,76,No Choice
77,V6,84,61,60,72,No Choice
78,V6,90,61,54,74,No Choice
79,V6,80,64,51,75,No Choice
80,V6,85,62,56,78,No Choice
81,V6,86,65,58,69,No Choice
82,V6,83,62,58,77,No Choice
83,V6,87,61,59,70,No Choice
84,V6,89,65,54,78,No Choice
85,V6,78,63,55,75,No Choice
86,V6,87,67,52,75,No Choice
87,V6,86,62,60,75,No Choice
88,V6,79,67,56,76,No Choice
89,V6,83,61,57,75,No Choice
90,V6,83,67,51,76,No Choice
91,V6,83,63,55,69,No Choice
92,V6,89,56,53,68,No Choice
93,V6,84,61,59,74,No Choice
94,V6,77,58,58,76,No Choice
95,V6,82,60,53,74,No Choice
96,V6,87,61,56,71,No Choice
97,V6,83,66,55,75,No Choice
98,V6,81,63,55,76,No Choice
99,V6,92,63,61,78,No Choice
