Trial,block,square1,square2,square3,square4,invalid
0,S2,62,57,71,74,No Choice
1,S2,64,59,72,67,No Choice
2,S2,68,57,75,68,No Choice
3,S2,69,57,80,70,No Choice
4,S2,66,60,74,68,No Choice
5,S2,63,62,77,72,No Choice
6,S2,69,61,75,74,No Choice
7,S2,74,66,79,72,No Choice
8,S2,81,65,76,72,No Choice
9,S2,70,66,78,70,No Choice
10,S2,70,72,70,74,No Choice
11,S2,64,66,72,67,No Choice
12,S2,66,57,70,67,No Choice
13,S2,68,68,71,73,No Choice
14,S2,70,63,77,71,No Choice
15,S2,64,66,75,66,No Choice
16,S2,67,61,73,70,No Choice
17,S2,65,58,71,75,No Choice
18,S2,72,64,81,61,No Choice
19,S2,60,63,72,65,No Choice
20,S2,68,56,71,70,No Choice
21,S2,65,65,74,71,No Choice
22,S2,69,62,77,72,No Choice
23,S2,64,71,74,65,No Choice
24,S2,66,62,78,70,No Choice
25,S2,67,69,76,66,No Choice
26,S2,65,63,74,69,No Choice
27,S2,68,64,67,68,No Choice
28,S2,61,52,71,68,No Choice
29,S2,67,64,73,69,No Choice
30,S2,67,53,77,67,No Choice
31,S2,67,69,69,68,No Choice
32,S2,71,63,73,70,No Choice
33,S2,61,65,68,71,No Choice
34,S2,66,55,78,68,No Choice
35,S2,60,57,66,66,No Choice
36,S2,64,63,73,72,No Choice
37,S2,65,62,75,68,No Choice
38,S2,69,57,71,62,No Choice
39,S2,72,66,74,74,No Choice
40,S2,66,63,76,59,No Choice
41,S2,74,64,67,76,No Choice
42,S2,62,67,72,68,No Choice
43,S2,69,63,75,71,No Choice
44,S2,72,60,74,67,No Choice
45,S2,69,63,76,73,No Choice
46,S2,64,71,75,72,No Choice
47,S2,75,62,75,69,No Choice
48,S2,66,65,74,68,No Choice
49,S2,67,64,72,76,No Choice
