Trial,block,square1,square2,square3,square4,invalid
0,V3,62,45,70,53,No Choice
1,V3,63,47,76,60,No Choice
2,V3,65,54,73,57,No Choice
3,V3,68,51,71,51,No Choice
4,V3,61,49,75,53,No Choice
5,V3,65,47,74,50,No Choice
6,V3,61,51,72,57,No Choice
7,V3,67,49,75,55,No Choice
8,V3,64,48,76,56,No Choice
9,V3,67,49,71,56,No Choice
10,V3,65,50,71,56,No Choice
11,V3,63,43,78,58,No Choice
12,V3,66,53,73,54,No Choice
13,V3,64,46,78,51,No Choice
14,V3,67,51,71,58,No Choice
15,V3,61,50,73,54,No Choice
16,V3,64,52,74,54,No Choice
17,V3,61,48,74,55,No Choice
18,V3,65,50,70,59,No Choice
19,V3,64,52,76,56,No Choice
20,V3,64,50,69,58,No Choice
21,V3,66,50,72,56,No Choice
22,V3,43,48,40,62,No Choice
23,V3,41,51,35,59,No Choice
24,V3,51,51,37,60,No Choice
25,V3,45,53,36,57,No Choice
26,V3,44,51,38,59,No Choice
27,V3,43,51,34,66,No Choice
28,V3,47,51,40,67,No Choice
29,V3,42,55,35,65,No Choice
30,V3,49,54,36,62,No Choice
31,V3,50,53,42,66,No Choice
32,V3,47,53,34,58,No Choice
33,V3,45,56,34,62,No Choice
34,V3,48,54,38,64,No Choice
35,V3,39,55,42,65,No Choice
36,V3,46,57,41,63,No Choice
37,V3,43,54,41,65,No Choice
38,V3,47,52,37,63,No Choice
39,V3,47,53,38,55,No Choice
40,V3,41,54,39,64,No Choice
41,V3,48,52,38,64,No Choice
42,V3,45,50,34,63,No Choice
43,V3,44,50,34,62,No Choice
44,V3,47,55,39,65,No Choice
45,V3,45,55,31,63,No Choice
46,V3,42,52,38,64,No Choice
47,V3,44,53,37,55,No Choice
48,V3,44,49,37,58,No Choice
49,V3,48,58,35,54,No Choice
50,V3,42,28,30,52,No Choice
51,V3,46,29,32,51,No Choice
52,V3,37,20,36,50,No Choice
53,V3,44,22,34,55,No Choice
54,V3,37,27,26,50,No Choice
55,V3,41,21,39,53,No Choice
56,V3,40,20,38,51,No Choice
57,V3,44,28,31,57,No Choice
58,V3,46,20,28,49,No Choice
59,V3,44,24,30,55,No Choice
60,V3,42,29,29,51,No Choice
61,V3,41,21,30,46,No Choice
62,V3,41,27,31,49,No Choice
63,V3,42,27,34,51,No Choice
64,V3,41,24,30,47,No Choice
65,V3,36,18,34,48,No Choice
66,V3,39,28,35,45,No Choice
67,V3,42,21,32,46,No Choice
68,V3,40,24,35,53,No Choice
69,V3,48,23,34,50,No Choice
70,V3,40,27,31,49,No Choice
71,V3,41,23,28,51,No Choice
72,V3,42,25,33,55,No Choice
73,V3,41,24,35,55,No Choice
74,V3,38,26,28,53,No Choice
75,V3,54,39,69,50,No Choice
76,V3,55,42,64,53,No Choice
77,V3,59,37,66,44,No Choice
78,V3,58,38,60,46,No Choice
79,V3,54,35,66,49,No Choice
80,V3,60,36,68,44,No Choice
81,V3,55,38,66,51,No Choice
82,V3,57,47,64,50,No Choice
83,V3,57,37,63,45,No Choice
84,V3,54,40,65,53,No Choice
85,V3,58,41,63,48,No Choice
86,V3,53,38,57,49,No Choice
87,V3,49,42,60,43,No Choice
88,V3,56,35,70,46,No Choice
89,V3,58,39,63,52,No Choice
90,V3,59,43,63,45,No Choice
91,V3,54,37,69,49,No Choice
92,V3,56,41,61,47,No Choice
93,V3,58,35,68,47,No Choice
94,V3,61,37,67,51,No Choice
95,V3,57,32,64,47,No Choice
96,V3,53,38,63,48,No Choice
97,V3,57,44,71,50,No Choice
98,V3,56,39,70,47,No Choice
99,V3,62,40,67,49,No Choice
