Trial,block,square1,square2,square3,square4,invalid
0,S7,68,73,62,57,No Choice
1,S7,74,67,66,59,No Choice
2,S7,68,69,65,60,No Choice
3,S7,74,68,65,63,No Choice
4,S7,68,74,67,63,No Choice
5,S7,68,67,61,57,No Choice
6,S7,72,64,65,51,No Choice
7,S7,69,63,69,63,No Choice
8,S7,71,68,63,54,No Choice
9,S7,81,66,68,62,No Choice
10,S7,72,73,68,61,No Choice
11,S7,72,72,62,58,No Choice
12,S7,66,66,62,61,No Choice
13,S7,73,75,75,68,No Choice
14,S7,71,73,72,66,No Choice
15,S7,75,68,68,65,No Choice
16,S7,67,65,62,56,No Choice
17,S7,72,67,63,64,No Choice
18,S7,73,69,66,65,No Choice
19,S7,75,70,62,58,No Choice
20,S7,76,63,67,62,No Choice
21,S7,79,76,63,64,No Choice
22,S7,67,72,63,62,No Choice
23,S7,69,71,70,62,No Choice
24,S7,74,67,70,62,No Choice
25,S7,70,67,72,62,No Choice
26,S7,72,62,74,65,No Choice
27,S7,69,70,68,62,No Choice
28,S7,65,66,60,62,No Choice
29,S7,70,64,60,68,No Choice
30,S7,69,69,64,57,No Choice
31,S7,77,67,65,60,No Choice
32,S7,67,75,65,58,No Choice
33,S7,74,66,66,60,No Choice
34,S7,72,72,66,61,No Choice
35,S7,67,68,64,62,No Choice
36,S7,64,63,70,58,No Choice
37,S7,80,72,64,53,No Choice
38,S7,78,69,76,67,No Choice
39,S7,69,66,60,67,No Choice
40,S7,72,71,63,66,No Choice
41,S7,80,73,65,63,No Choice
42,S7,77,60,65,59,No Choice
43,S7,70,72,70,63,No Choice
44,S7,77,70,66,58,No Choice
45,S7,75,69,73,58,No Choice
46,S7,74,71,63,63,No Choice
47,S7,73,75,71,64,No Choice
48,S7,78,79,64,58,No Choice
49,S7,75,72,66,72,No Choice
